X,order,family,common_name,Binomial,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
559,Rodentia,Muridae,Canefield Rat,Rattus_sordidus,3.522,0.547,Breed 2000,158,2.199,Breed 2000,5.99,4,NA,Myrhvold 2015,NA,,NA,NA
560,Rodentia,Muridae,Stein's New Guinea Rat,Rattus_steini,1.109,0.045,Ramm 2007; Breed 2000,93,1.968,Ramm 2007; Breed 2000,3.65,NA,NA,Myrhvold 2015,NA,,NA,NA
561,Rodentia,Muridae,Malaysian Field Rat,Rattus_tiomanicus,3.473,0.541,Breed 2000,89,1.949,Breed 2000,3.87,4.28,4.2,Myrhvold 2015,NA,,NA,NA
562,Rodentia,Muridae,Australian Pale Field Rat,Rattus_tunneyi,4.865,0.687,Ramm 2007; Breed 2000,243,2.386,Ramm 2007; Breed 2000,5.34,NA,1,Myrhvold 2015,NA,,NA,NA
563,Rodentia,Muridae,Australian Long-haired Rat,Rattus_villosissimus,2.15,0.332,Ramm 2007; Breed 2000,207,2.316,Ramm 2007; Breed 2000,5.995,4,NA,Myrhvold 2015,NA,,NA,NA
564,Rodentia,Muridae,Xeric Four-striped Grass Rat,Rhabdomys_pumilio,0.909,-0.041,Breed 2000,55,1.74,Breed 2000,5.28,7,4.5,Capellini 2015,polygynous,Sinervo 2020,no,Heldstab 2019; Lukas 2019; Sinervo 2020
565,Chiroptera,Rhinolophidae,Geoffroy's horseshoe bat,Rhinolophus_clivosus,0.1799,-0.745,Ramm 2007,14,1.149,Ramm 2007,NA,NA,NA,NA,NA,,NA,NA
566,Chiroptera,Rhinolophidae,Lesser Horseshoe Bat,Rhinolophus_hipposideros,0.02,-1.699,Ramm 2007,4,0.64,Ramm 2007,1,1,29.4,Capellini 2015,NA,,NA,NA
567,Chiroptera,Rhinolophidae,Smaller Horseshoe Bat,Rhinolophus_megaphyllus,0.1199,-0.921,Ramm 2007,10,0.978,Ramm 2007,1,1,7.5,Capellini 2015; Myrhvold 2015,NA,,NA,NA
568,Chiroptera,Hipposideridae,Orange Leaf-nosed Bat,Rhinonicteris_aurantia,0.012,-1.921,Pitnick 2006,10,0.991,Pitnick 2006,1,1,NA,Capellini 2015,NA,,NA,NA
569,Chiroptera,Rhinopomatidae,Lesser Mouse-tailed Bat,Rhinopoma_hardwickii,0.13,-0.886,Ramm 2007,19,1.279,Ramm 2007,0.99,1,NA,Capellini 2015,NA,,NA,NA
570,Chiroptera,Rhinopomatidae,Greater Mouse-tailed Bat,Rhinopoma_microphyllum,0.6295,-0.201,Ramm 2007,32,1.507,Ramm 2007,1,1,NA,Capellini 2015,NA,,NA,NA
571,Chiroptera,Vespertilionidae,Black-winged Little Yellow Bat,Rhogeessa_tumida,0.0769,-1.114,Pitnick 2006,5,0.708,Pitnick 2006,1.4,NA,NA,Capellini 2015,NA,,NA,NA
572,Chiroptera,Emballonuridae,Proboscis Bat,Rhynchonycteris_naso,0.01,-2,Ramm 2007,4,0.627,Ramm 2007,0.99,2,NA,Capellini 2015,promiscuous,Hosken 2001; Pitnick 2006,NA,NA
573,Chiroptera,Pteropodidae,Egyptian Rousette,Rousettus_aegyptiacus,1.7498,0.243,Ramm 2007,151,2.18,Ramm 2007,1.07,2,25,Capellini 2015,NA,,NA,NA
574,Chiroptera,Pteropodidae,Geoffroy's Rousette,Rousettus_amplexicaudatus,0.3698,-0.432,Ramm 2007,83,1.921,Ramm 2007,0.99,2,7.983333333,Capellini 2015; Myrhvold 2015,NA,,NA,NA
575,Chiroptera,Pteropodidae,Long-haired Rousette,Rousettus_lanosus,1.9011,0.279,Anderson 2004,100,2,Anderson 2004,NA,2,18.7,Capellini 2015; Myrhvold 2015,promiscuous,Anderson 2004,NA,NA
576,Artiodactyla,Cervidae,Javan Rusa,Rusa_timorensis,27.4157,1.438,Anderson 2004,74989,4.875,Anderson 2004,1,1,20,Capellini 2015,promiscuous,Anderson 2004,NA,NA
577,Artiodactyla,Cervidae,Sambar,Rusa_unicolor,77.4462,1.889,Anderson 2004,200909,5.303,Anderson 2004,1,1,26.4,Capellini 2015,polygynous,Anderson 2004; Lukas 2013,NA,NA
578,Chiroptera,Emballonuridae,Yellow-bellied Pouched Bat,Saccolaimus_flaviventris,0.5754,-0.24,Pitnick 2006,100,2,Pitnick 2006,NA,2,NA,Capellini 2015,monogamous,Hosken 2001; Pitnick 2006,NA,NA
579,Chiroptera,Emballonuridae,Greater Sac-winged Bat,Saccopteryx_bilineata,0.011,-1.959,Pitnick 2006,7,0.869,Pitnick 2006,0.99,1,6,Capellini 2015,polygynous,Hosken 2001; Pitnick 2006; Soulsbury 2010; Pantheria,NA,NA
580,Chiroptera,Emballonuridae,Lesser Sac-winged Bat,Saccopteryx_leptura,0.025,-1.602,Pitnick 2006,4,0.613,Pitnick 2006,NA,NA,NA,Capellini 2015,monogamous; polygynous,Pitnick 2006; Pantheria,NA,NA
581,Primates,Cebidae,Red-handed Tamarin,Saguinus_midas,1.8281,0.262,Harcourt 1995,570,2.756,Harcourt 1995,2.02,1.36,21,Capellini 2015,promiscuous,Pantheria; Lukas 2012; Lukas 2013,NA,NA
582,Primates,Cebidae,Cottontop Tamarin,Saguinus_oedipus,1.4791,0.17,Hayward 2011,501,2.7,Hayward 2011,1.9,1,26.2,Capellini 2015,monogamous,Kenagy 1986; Lukas 2013; Lukas 2012,yes,Heldstab 2019; Lukas 2019
583,Primates,Cebidae,Common Squirrel Monkey,Saimiri_sciureus,3.2,0.505,Anderson 2004; Gage 2003,780,2.879,Anderson 2004; Gage 2003,1,1.33,30.2,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988; Harcourt 1995; Lupold 2018,yes,Heldstab 2019
584,Primates,Cebidae,Tufted Capuchin,Sapajus_apella,9.1,0.959,Ramm 2007; Gage 2003,2600,3.415,Ramm 2007; Gage 2003,1.05,0.55,46,Capellini 2015,promiscuous,Moller 1988; Harcourt 1995; Lupold 2014,yes,Heldstab 2019
585,Dasyuromorphia,Dasyuridae,Tasmanian Devil,Sarcophilus_harrisii,5.2,0.716,Anderson 2004,6237,3.795,Anderson 2004,2.88,1,13,Capellini 2015,promiscuous,Anderson 2004; Lukas 2012; Lukas 2013; Gooley 2018,NA,NA
586,Soricomorpha,Talpidae,Eastern Mole,Scalopus_aquaticus,2.1979,0.342,Hayward 2011,125,2.097,Hayward 2011,3.89,1,6.2,Capellini 2015,NA,,NA,NA
587,Primates,Galagidae,Bioko Allen's Bushbaby,Sciurocheirus_alleni,1.6218,0.21,Anderson 2004,314,2.497,Anderson 2004,1.29,1,12,Capellini 2015,promiscuous,Anderson 2004,NA,NA
588,Rodentia,Sciuridae,Caucasian Squirrel,Sciurus_anomalus,1.38,NA,personal squirrel database,240,NA,personal squirrel database,4,NA,5.7,Myrhvold 2015,NA,NA,NA,NA
589,Rodentia,Sciuridae,Eastern Gray Squirrel,Sciurus_carolinensis,5.18,0.714,Hayward 2011,536,2.719,Hayward 2011,2.98,2,24,Capellini 2015,promiscuous,Kenagy 1986; Waterman 2007; Sinervo 2020,no,Heldstab 2019; Lukas 2019
590,Rodentia,Sciuridae,Eastern Fox Squirrel,Sciurus_niger,6.9,NA,personal squirrel database,836,NA,personal squirrel database,2.71,1.64,16,Capellini 2015,promiscuous,Sinervo 2020,no,Heldstab 2019
591,Rodentia,Sciuridae,Eurasian Red Squirrel,Sciurus_vulgaris,2.81,0.449,Hayward 2011,350,2.544,Hayward 2011,4.5,2,14.8,Capellini 2015,promiscuous,Waterman 2007; Sinervo 2020,no,Heldstab 2019
592,Chiroptera,Vespertilionidae,Reunion House Bat,Scotophilus_borbonicus,0.14,-0.854,Ramm 2007,22,1.342,Ramm 2007,2,1,NA,Capellini 2015,NA,,NA,NA
