X,order,family,common_name,Binomial,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
240,Carnivora,Hyaenidae,Striped Hyena,Hyaena_hyaena,7.7804,0.891,Iossa 2008,33497,4.525,Iossa 2008,2.44,1.36,25,Capellini 2015; Myrhvold 2015,promiscuous,Iossa 2008; Soulsbury 2010,no,Heldstab 2019; Lukas 2019
241,Rodentia,Caviidae,Capybara,Hydrochoerus_hydrochaeris,40.8319,1.611,Anderson 2004,58884,4.77,Anderson 2004,3.49,1,15.1,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
242,Rodentia,Muridae,Common Water Rat,Hydromys_chrysogaster,11.765,1.071,Ramm 2007; Breed 2000,745,2.872,Ramm 2007; Breed 2000,3.51,2.5,7.3,Capellini 2015,NA,,NA,
243,Primates,Hylobatidae,Agile Gibbon,Hylobates_agilis,6.3241,0.801,Harcourt 1995,5998,3.778,Harcourt 1995,1.02,0.475,49,Capellini 2015; Myrhvold 2015,monogamous,Lukas 2013; Lukas 2012; Harcourt 1995,NA,NA
244,Primates,Hylobatidae,Lar Gibbon,Hylobates_lar,5.5,0.74,Hayward 2011,5500,3.74,Hayward 2011,1.01,0.45,56,Capellini 2015,monogamous,Pantheria; Kenagy 1986; Lukas 2013; Lukas 2012; Moller 1988; Harcourt 1995; Lupold 2014,yes,Heldstab 2019
245,Primates,Hylobatidae,Silvery Javan Gibbon,Hylobates_moloch,5.7016,0.756,Hayward 2011,5610,3.749,Hayward 2011,1,0.42,45,Capellini 2015,monogamous; polygynous,Kenagy 1986; Lukas 2013; Lukas 2012; Moller 1988; Harcourt 1995,NA,NA
246,Artiodactyla,Suidae,Giant Forest Hog,Hylochoerus_meinertzhageni,500.0345,2.699,Ginsberg 1990,201837,5.305,Ginsberg 1990,4,1.1,18,Capellini 2015; Myrhvold 2015,promiscuous,Ginsberg 1990; Lukas 2013,NA,NA
247,Rodentia,Muridae,Eastern Hyomys,Hyomys_goliath,3.751,0.574,Hayward 2011; Breed 2000,1000,3,Hayward 2011; Breed 2000,1,NA,0.42,Capellini 2015; Myrhvold et al 2015,NA,,NA,
248,Cetacea,Ziphiidae,Northern Bottlenose Whale,Hyperoodon_ampullatus,1196.7405,3.078,Macleod 2010,6998420,6.845,Macleod 2010,1,0.7,37,Capellini 2015,NA,,NA,NA
249,Chiroptera,Pteropodidae,Hammer-headed Fruit Bat,Hypsignathus_monstrosus,0.2399,-0.62,Ramm 2007,354,2.549,Ramm 2007,1.4,2,12.225,Capellini 2015; Myrhvold 2015,polygynous,Hosken 2001,NA,NA
250,Rodentia,Hystricidae,Cape Porcupine,Hystrix_africaeaustralis,6.6527,0.823,Ramm 2005,11803,4.072,Ramm 2005,1.51,1.5,23.1,Capellini 2015,monogamous; polygynous,Lukas 2013; Lukas 2012; Waterman 2007,NA,NA
251,Cetacea,Iniidae,Amazon River Dolphin,Inia_geoffrensis,1445.4398,3.16,Hayward 2011,121899,5.086,Hayward 2011,1,0.666666667,31.3,Capellini 2015; Myrhvold 2015,NA,,NA,NA
252,Peramelemorphia,Peramelidae,Northern Brown Bandicoot,Isoodon_macrourus,2.3605,0.373,Hayward 2011,1276,3.106,Hayward 2011,3.13,2.66,6.8,Capellini 2015,polygynous,Nowak 1983,NA,NA
253,Peramelemorphia,Peramelidae,Southern Brown Bandicoot,Isoodon_obesulus,1.6982,0.23,Hayward 2011,1057,3.024,Hayward 2011,2.33,2.2,6.5,Capellini 2015,polygynous,Rose 1997; Lukas 2013,NA,NA
254,Artiodactyla,Bovidae,Waterbuck,Kobus_ellipsiprymnus,73.6207,1.867,Anderson 2004,202302,5.306,Anderson 2004,1,1.1,30,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
255,Artiodactyla,Bovidae,Kob,Kobus_kob,41.6869,1.62,Anderson 2004,145881,5.164,Anderson 2004,1,1.3,21.92,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
256,Artiodactyla,Bovidae,Lechwe,Kobus_leche,67.9204,1.832,Anderson 2004,108893,5.037,Anderson 2004,1,1,25.4,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
257,Artiodactyla,Bovidae,Nile Lechwe,Kobus_megaceros,51.9996,1.716,Anderson 2004,103514,5.015,Anderson 2004,1,1,21.1,Myrhvold 2015,promiscuous,Anderson 2004,NA,NA
258,Cetacea,Physeteridae,Pygmy Sperm Whale,Kogia_breviceps,10495.4243,4.021,Dines 2015,453942,5.657,Dines 2015,0.97,1,17,Capellini 2015,NA,,NA,NA
259,Cetacea,Physeteridae,Dwarf Sperm Whale,Kogia_sima,4920.3954,3.692,Dines 2015,302691,5.481,Dines 2015,1,0.5,NA,Capellini 2015; Myrhvold 2015,NA,,NA,NA
260,Cetacea,Delphinidae,Atlantic White-sided Dolphin,Lagenorhynchus_acutus,331.8945,2.521,Macleod 2010,199986,5.301,Macleod 2010,1.22,0.41,27,Capellini 2015,NA,,NA,NA
261,Cetacea,Delphinidae,Pacific White-sided Dolphin,Lagenorhynchus_obliquidens,1116.8632,3.048,Dines 2015,198153,5.297,Dines 2015,1,0.212765957,46,Capellini 2015; Myrhvold 2015,NA,,NA,NA
262,Cetacea,Delphinidae,Dusky Dolphin,Lagenorhynchus_obscurus,2673.0064,3.427,Macleod 2010,79983,4.903,Macleod 2010,1,0.42,35,Capellini 2015; Myrhvold 2015,NA,,NA,NA
263,Primates,Atelidae,Brown Woolly Monkey,Lagothrix_lagotricha,11.1944,1.049,Hayward 2011,5224,3.718,Hayward 2011,1.01,0.5,32,Capellini 2015,promiscuous,Pantheria; Kenagy 1986; Lukas 2013; Lukas 2012; Harcourt 1995,no,Heldstab 2019; Lukas 2019
264,Diprotodontia,Vombatidae,Southern Hairy-nosed Wombat,Lasiorhinus_latifrons,16.1436,1.208,Anderson 2004,25527,4.407,Anderson 2004,1,1,29.9,Capellini 2015,promiscuous,Anderson 2004,NA,NA
265,Chiroptera,Vespertilionidae,Southern Yellow Bat,Lasiurus_ega,0.02,-1.699,Ramm 2007,12,1.077,Ramm 2007,2.14,1,NA,Capellini 2015,NA,,NA,NA
266,Chiroptera,Vespertilionidae,Seminole Bat,Lasiurus_seminolus,0.013,-1.886,Pitnick 2006,9,0.968,Pitnick 2006,2.68,1,2.575,Capellini 2015; Myrhvold 2015,NA,,NA,NA
267,Rodentia,Muridae,Forrest's Leggadina,Leggadina_forresti,0.545,-0.264,Ramm 2007; Breed 2000,30,1.477,Ramm 2007; Breed 2000,3.5,NA,0.25,Capellini 2015; Myrhvold et al 2015,NA,,NA,
268,Primates,Cebidae,Black-mantled Tamarin,Leontocebus_nigricollis,3.8019,0.58,Harcourt 1995,470,2.672,Harcourt 1995,1.82,2.9,20.2,Capellini 2015; Myrhvold 2015,promiscuous,Lukas 2012; Lukas 2013; Harcourt 1995; Moller 1988,yes,Heldstab 2019
269,Primates,Cebidae,Golden Lion Tamarin,Leontopithecus_rosalia,0.4797,-0.319,Anderson 2004,520,2.716,Anderson 2004,1.94,1.75,31.6,Capellini 2015,monogamous,Lukas 2013; Lukas 2012; Harcourt 1995,yes,Heldstab 2019; Lukas 2019
270,Carnivora,Felidae,Colocolo,Leopardus_colocolo,3.0832,0.489,Iossa 2008,3350,3.525,Iossa 2008,2.5,NA,19.6,Capellini 2015,polygynous,Iossa 2008,NA,NA
271,Carnivora,Felidae,Geoffroy's Cat,Leopardus_geoffroyi,6.0534,0.782,Iossa 2008,4797,3.681,Iossa 2008,2.04,1.33,23,Capellini 2015,polygynous,Iossa 2008,NA,NA
272,Carnivora,Felidae,Ocelot,Leopardus_pardalis,35.2371,1.547,Iossa 2008,14289,4.155,Iossa 2008,1.66,1,28.2,Capellini 2015,promiscuous,Iossa 2008; Ferguson 2004,no,Heldstab 2019; Lukas 2019
273,Carnivora,Felidae,Oncilla,Leopardus_tigrinus,4.6238,0.665,Iossa 2008,2999,3.477,Iossa 2008,1.5,NA,21.9,Capellini 2015,polygynous,Iossa 2008; Lukas 2013,NA,NA
274,Carnivora,Felidae,Margay,Leopardus_wiedii,6.8234,0.834,Iossa 2008,3396,3.531,Iossa 2008,1.5,NA,24,Capellini 2015,polygynous,Iossa 2008,NA,NA
275,Rodentia,Muridae,Indomalayan Leopoldamys,Leopoldamys_sabanus,9.035,0.956,Breed 2000,373,2.572,Breed 2000,3.33,NA,2,Capellini 2015,NA,,NA,
276,Rodentia,Muridae,Greater Stick-nest Rat,Leporillus_conditor,4,0.602,Ramm 2007; Breed 2000,187,2.272,Ramm 2007; Breed 2000,2.95,NA,5.3,Capellini 2015,NA,,NA,
277,Rodentia,Muridae,Elegant Leptomys,Leptomys_elegans,1.24,0.093,Ramm 2007; Breed 2000,69,1.839,Ramm 2007; Breed 2000,1.88,NA,NA,Capellini 2015,NA,,NA,
278,Chiroptera,Phyllostomidae,Curacaoan Long-nosed Bat,Leptonycteris_curasoae,0.263,-0.58,Pitnick 2006,29,1.462,Pitnick 2006,0.99,1,10.1,Capellini 2015,NA,,NA,NA
279,Lagomorpha,Leporidae,Snowshoe Hare,Lepus_americanus,11.8,1.072,Soulsbury 2010,1300,3.114,Soulsbury 2010,3.54,2.5,8,Capellini 2015,promiscuous,Soulsbury 2010,no,Heldstab 2019; Lukas 2019
280,Lagomorpha,Leporidae,Mountain Hare,Lepus_timidus,16.6725,1.222,Hayward 2011,2636,3.421,Hayward 2011,3.16,3,18,Capellini 2015,NA,,no,Heldstab 2019
281,Cetacea,Iniidae,Baiji,Lipotes_vexillifer,59.9791,1.778,Dines 2015,125026,5.097,Dines 2015,1,0.5,24,Capellini 2015,NA,,NA,NA
282,Cetacea,Delphinidae,Northern Right Whale Dolphin,Lissodelphis_borealis,1545.2544,3.189,Dines 2015,113501,5.055,Dines 2015,NA,0.5,21.58333333,Capellini 2015; Myrhvold 2015,NA,,NA,NA
283,Carnivora,Mustelidae,North American River Otter,Lontra_canadensis,17.9887,1.255,Iossa 2008,6194,3.792,Iossa 2008,2.67,0.94,23,Capellini 2015,promiscuous,Iossa 2008; Ferguson 2004,no,Heldstab 2019
284,Primates,Cercopithecidae,Black Crested Mangabey,Lophocebus_aterrimus,13.7721,1.139,Harcourt 1995,10000,4,Harcourt 1995,1,0.4,26.8,Myrhvold 2015,promiscuous,Lukas 2013; Harcourt 1995,NA,NA
285,Chiroptera,Phyllostomidae,Carriker's Round-eared Bat,Lophostoma_carrikeri,0.4093,-0.388,Pitnick 2006,23,1.362,Pitnick 2006,NA,2,NA,Capellini 2015,NA,,NA,NA
286,Rodentia,Muridae,Ethiopian Buff-spotted Brush-furred Rat,Lophuromys_flavopunctatus,1.138,0.056,Breed 2000,60,1.778,Breed 2000,2.3,NA,0.75,Capellini 2015; Myrhvold et al 2015,NA,,NA,
287,Rodentia,Muridae,Long-footed Tree Mouse,Lorentzimys_nouhuysi,0.357,-0.447,Hayward 2011; Breed 200,16,1.204,Hayward 2011; Breed 200,2.75,NA,NA,Capellini 2015,NA,,NA,
288,Primates,Lorisidae,Red Slender Loris,Loris_tardigradus,2.0417,0.31,Hayward 2011,277,2.442,Hayward 2011,1.44,1.5,19.3,Capellini 2015,promiscuous,Gupta 2007 (and therein),no,Heldstab 2019; Lukas 2019
289,Proboscidea,Elephantidae,African Bush Elephant,Loxodonta_africana,4530,3.486,Gage 2003,4365000,6.702,Gage 2003,0.84,0.21,80,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990; Rasmussen 1998,no,Heldstab 2019; Lukas 2019
290,Proboscidea,Elephantidae,African Bush Elephant,Loxodonta_africana,3061.9634,3.486,Anderson 2004,5035006,6.702,Anderson 2004,0.84,0.21,80,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990; Rasmussen 1998,no,Heldstab 2019; Lukas 2019
291,Carnivora,Mustelidae,European Otter,Lutra_lutra,4.0458,0.607,Anderson 2004,7816,3.893,Anderson 2004,2.01,1,22,Capellini 2015,polygynous,Anderson 2004; Iossa 2008,no,Heldstab 2019
292,Carnivora,Canidae,South American Gray Fox,Lycalopex_griseus,11.1944,1.049,Iossa 2008,2500,3.398,Iossa 2008,4.2,NA,10.9,Capellini 2015,monogamous; polygynous,Iossa 2008,NA,NA
293,Carnivora,Canidae,African wild dog,Lycaon_pictus,38.2825,1.583,Iossa 2008,31477,4.498,Iossa 2008,8.1,0.93,17,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010; Pantheria; Lukas 2013; Lukas 2012,yes,Heldstab 2019; Lukas 2019
294,Carnivora,Felidae,Eurasian Lynx,Lynx_lynx,7.1945,0.857,Iossa 2008,19588,4.292,Iossa 2008,2.3,1,26.8,Capellini 2015,promiscuous,Iossa 2008,no,Heldstab 2019
295,Carnivora,Felidae,Bobcat,Lynx_rufus,5.0816,0.706,Iossa 2008,11995,4.079,Iossa 2008,2.76,0.94,32.3,Capellini 2015,promiscuous,Iossa 2008; Ferguson 2004,no,Heldstab 2019
296,Primates,Cercopithecidae,Stump-tailed Macaque,Macaca_arctoides,48.15,1.683,Hayward 2011; Gage 2003,10510,4.022,Hayward 2011; Gage 2003,1.01,0.61,30,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988,no,Heldstab 2019; Lukas 2019
297,Primates,Cercopithecidae,Crab-eating Macaque,Macaca_fascicularis,35.2,1.547,Anderson 2004; Gage 2003,4420,3.653,Anderson 2004; Gage 2003,1,1,39,Capellini 2015,promiscuous,Soulsbury 2010; Kenagy 1986; Moller 1988,no,Heldstab 2019; Lukas 2019
298,Primates,Cercopithecidae,Crab-eating Macaque,Macaca_fascicularis,35.2,1.547,Anderson 2004; Gage 2003; Soulsbury 2010,4400,3.653,Anderson 2004: Soulsbury 2010,1,1,39,Capellini 2015,promiscuous,Soulsbury 2010; Kenagy 1986; Moller 1988,no,Heldstab 2019; Lukas 2019
299,Primates,Cercopithecidae,Japanese Macaque,Macaca_fuscata,70,1.845,Soulsbury 2010,12300,4.09,Soulsbury 2010,1.02,1,38.5,Capellini 2015,promiscuous,Soulsbury 2010; Moller 1988,no,Heldstab 2019; Lukas 2019
300,Primates,Cercopithecidae,Rhesus Monkey,Macaca_mulatta,46.2,1.69,Gage 2003,9200,4.049,Gage 2003,1.01,1,40,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988; Harcourt 1995; Lupold 2014,yes,Heldstab 2019
301,Primates,Cercopithecidae,Rhesus Monkey,Macaca_mulatta,48.9779,1.69,Anderson 2004,11194,4.049,Anderson 2004,1.01,1,40,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988; Harcourt 1995; Lupold 2014,yes,Heldstab 2019
302,Primates,Cercopithecidae,Southern Pig-tailed Macaque,Macaca_nemestrina,66.7,1.824,Hayward 2011,9980,3.999,Hayward 2011,1.01,0.85,37.6,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988; Lupold 2014,no,Heldstab 2019; Lukas 2019
303,Primates,Cercopithecidae,Bonnet Macaque,Macaca_radiata,57.544,1.76,Hayward 2011,8395,3.924,Hayward 2011,1.01,1,30,Capellini 2015,promiscuous,Kenagy 1986; Moller 1988,yes,Heldstab 2019
304,Chiroptera,Megadermatidae,Australian False Vampire Bat,Macroderma_gigas,0.1679,-0.775,Pitnick 2006,108,2.033,Pitnick 2006,1,1,22.6,Capellini 2015,NA,,NA,NA
305,Chiroptera,Pteropodidae,Dagger-toothed Long-nosed Fruit Bat,Macroglossus_minimus,0.14,-0.854,Ramm 2007,15,1.18,Ramm 2007,0.99,3,7.316666667,Capellini 2015; Myrhvold 2015,NA,,NA,NA
306,Chiroptera,Pteropodidae,Greater Long-nosed Fruit Bat,Macroglossus_sobrinus,0.16,-0.796,Ramm 2007,23,1.362,Ramm 2007,1,NA,5,Capellini 2015; Myrhvold 2015,NA,,NA,NA
307,Diprotodontia,Macropodidae,Agile Wallaby,Macropus_agilis,25.6448,1.409,Birkhead 1998,11402,4.057,Birkhead 1998,1.01,1.8,16.9,Capellini 2015,promiscuous,Rose 1997; Pantheria,NA,NA
308,Diprotodontia,Macropodidae,Tammar Wallaby,Macropus_eugenii,61.9441,1.792,Birkhead 1998,5848,3.767,Birkhead 1998,1.01,1,15.1,Capellini 2015,promiscuous,Rose 1997; Pantheria,NA,NA
309,Diprotodontia,Macropodidae,Western Grey Kangaroo,Macropus_fuliginosus,51.6416,1.713,Birkhead 1998,34119,4.533,Birkhead 1998,1,1,23.2,Capellini 2015,promiscuous,Rose 1997; Pantheria,NA,NA
310,Diprotodontia,Macropodidae,Eastern Grey Kangaroo,Macropus_giganteus,41.9759,1.623,Birkhead 1998,40738,4.61,Birkhead 1998,1,1,25,Capellini 2015,promiscuous,Pantheria; Rose 1997,no,Lukas 2019
311,Diprotodontia,Macropodidae,Wallaroo,Macropus_robustus,39.9945,1.602,Rose 1997,29992,4.477,Rose 1997,1,0.723287671,24,Capellini 2015,promiscuous,Rose 1997; Pantheria,NA,NA
312,Diprotodontia,Macropodidae,Red-necked Wallaby,Macropus_rufogriseus,54.5758,1.737,Birkhead 1998,18493,4.267,Birkhead 1998,1.01,1,19,Capellini 2015,promiscuous,Rose 1997; Pantheria,NA,NA
313,Diprotodontia,Macropodidae,Red Kangaroo,Macropus_rufus,38.1944,1.582,Birkhead 1998,39811,4.6,Birkhead 1998,1,1.36,30,Capellini 2015; Myrhvold 2015,promiscuous,Pantheria,NA,NA
314,Chiroptera,Phyllostomidae,Waterhouse's Leaf-nosed Bat,Macrotus_waterhousii,0.037,-1.432,Pitnick 2006,16,1.204,Pitnick 2006,0.98,NA,10.41666667,Capellini 2015,NA,,NA,NA
315,Artiodactyla,Bovidae,Guenther's Dikdik,Madoqua_guentheri,3.1477,0.498,Anderson 2004,3251,3.512,Anderson 2004,0.98,2,17.5,Capellini 2015,monogamous,Anderson 2004; Lukas 2013,NA,NA
316,Artiodactyla,Bovidae,Kirk's Dikdik,Madoqua_kirkii,8.3946,0.924,Hayward 2011,5000,3.699,Hayward 2011,0.98,2,17.3,Capellini 2015,monogamous; polygynous,Soulsbury 2010; Pantheria; Kenagy 1986; Lukas 2013; Lukas 2012,no,Heldstab 2019; Lukas 2019
317,Rodentia,Muridae,Rothschild's Mallomys,Mallomys_rothschildi,14.35,1.157,Hayward 2011; Breed 200,1087,3.036,Hayward 2011; Breed 200,1.02,NA,NA,Capellini 2015,NA,,NA,
318,Rodentia,Muridae,Highland Mammelomys,Mammelomys_lanosus,3.004,0.478,Breed 2000,123,2.09,Breed 2000,2.68,NA,NA,Capellini 2015,NA,,NA,
319,Primates,Cercopithecidae,Drill,Mandrillus_leucophaeus,27.2898,1.436,Anderson 2004,28510,4.455,Anderson 2004,1.01,0.5,39,Capellini 2015,promiscuous,Anderson 2004,no,Lukas 2019
320,Primates,Cercopithecidae,Mandrill,Mandrillus_sphinx,68.0769,1.833,Harcourt 1995,34995,4.544,Harcourt 1995,1.02,0.83,46.33,Capellini 2015,polygynous,Harcourt 1995,no,Lukas 2019
321,Rodentia,Sciuridae,Woodchuck,Marmota_monax,7.4,0.869,Hayward 2011,2350,3.62,Hayward 2011,4.1,1,14,Capellini 2015,promiscuous,Kenagy 1986; Waterman 2007,no,Heldstab 2019; Lukas 2019; Sinervo 2020
322,Carnivora,Mustelidae,Fisher,Martes_pennanti,8.2414,0.916,Hayward 2011,5297,3.724,Hayward 2011,3.02,1,14.3,Capellini 2015,promiscuous,Iossa 2008; Ferguson 2004,no,Heldstab 2019; Lukas 2019
323,Rodentia,Muridae,Broad-toothed Mastacomys,Mastacomys_fuscus,3.725,0.571,Ramm 2007; Breed 2000,117,2.068,Ramm 2007; Breed 2000,1.41,NA,NA,Capellini 2015,NA,,NA,
324,Rodentia,Muridae,Southern African Mastomys,Mastomys_coucha,0.741,-0.13,Breed 2000,70,1.845,Breed 2000,7.96,3.56,2.91,Capellini 2015; Myrhvold et al 2015,NA,,NA,
325,Rodentia,Muridae,Natal Mastomys,Mastomys_natalensis,0.972,0.204,Hayward 2011; Breed 2000; Soulsbury 2011,59,1.91,Hayward 2011; Breed 2000; Soulsbury 2011,9.23,2,2.74,Capellini 2015; Myrhvold et al 2015,promiscuous,Soulsbury 2010,NA,
326,Rodentia,Muridae,Bartels's Javan Maxomys,Maxomys_bartelsii,4.205,0.624,Breed 2000,93,1.968,Breed 2000,NA,NA,NA,Capellini 2015,NA,,NA,
327,Rodentia,Muridae,Indomalayan Maxomys,Maxomys_surifer,3.328,0.522,Breed 2000,155,2.19,Breed 2000,3.54,NA,NA,Capellini 2015,NA,,NA,
328,Rodentia,Muridae,Whitehead's Sundaic Maxomys,Maxomys_whiteheadi,0.952,-0.021,Breed 2000,64,1.806,Breed 2000,3,NA,1.5,Myrhvold 2015,NA,,NA,
329,Chiroptera,Megadermatidae,Greater False Vampire Bat,Megaderma_lyra,0.08,-1.097,Ramm 2007,64,1.806,Ramm 2007,1,1,14,Capellini 2015,NA,,no,Lukas 2019
330,Chiroptera,Megadermatidae,Lesser False Vampire Bat,Megaderma_spasma,0.113,-0.947,Pitnick 2006,23,1.354,Pitnick 2006,1.41,1,14,Capellini 2015; Myrhvold 2015,NA,,NA,NA
331,Cetacea,Balaenopteridae,Humpback Whale,Megaptera_novaeangliae,1729,3.091,Gage 2003,32658500,7.502,Gage 2003,1,0.37,95,Capellini 2015,promiscuous,Pantheria,NA,
332,Cetacea,Balaenopteridae,Humpback Whale,Megaptera_novaeangliae,1233.1048,3.091,Hayward 2011,31768741,7.502,Hayward 2011,1,0.37,95,Capellini 2015,promiscuous,Pantheria,NA,
333,Carnivora,Mustelidae,European Badger,Meles_meles,14.4,1.158,Hayward 2011; Gage 2000; Soulsbury 2010,14515,4.162,Hayward 2011; Gage 2000; Soulsbury 2010,3.11,0.75,18.6,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010; Kenagy 1986,no,Heldstab 2019; Lukas 2019
334,Carnivora,Mustelidae,Honey Badger,Mellivora_capensis,53.9511,1.732,Iossa 2008,9705,3.987,Iossa 2008,2.35,2,31.3,Capellini 2015,promiscuous,Iossa 2008; Ferguson 2004,no,Lukas 2019
335,Rodentia,Muridae,Grassland Melomys,Melomys_burtoni,1.91,0.281,Breed 2000,78,1.892,Breed 2000,2.5,NA,NA,Capellini 2015,NA,,NA,
336,Rodentia,Muridae,Fawn-footed Melomys,Melomys_cervinipes,2.782,0.444,Breed 2000,139,2.143,Breed 2000,2.2,1.3,NA,Capellini 2015,NA,,NA,
337,Rodentia,Muridae,White-bellied Melomys,Melomys_leucogaster,1.102,0.042,Breed 2000,104,2.017,Breed 2000,2.15,NA,NA,Capellini 2015,NA,,NA,
338,Rodentia,Muridae,Black-tailed Melomys,Melomys_rufescens,1.342,0.128,Ramm 2007,68,1.833,Ramm 2007,2.17,NA,NA,Capellini 2015,NA,,NA,
339,Carnivora,Mephitidae,Striped Skunk,Mephitis_mephitis,5.0466,0.703,Iossa 2008,5047,3.703,Iossa 2008,5.7,2,13.9,Capellini 2015,polygynous,Iossa 2008; Ferguson 2004,no,Heldstab 2019; Lukas 2019
340,Rodentia,Muridae,Black-footed Mesembriomys,Mesembriomys_gouldii,5.498,0.74,Ramm 2007,545,2.736,Ramm 2007,1.87,4,7.8,Capellini 2015,NA,,NA,
341,Rodentia,Muridae,Golden-backed Mesembriomys,Mesembriomys_macrurus,8.28,0.918,Breed 2000,341,2.533,Breed 2000,2,NA,7.1,Capellini 2015,NA,,NA,
342,Rodentia,Cricetidae,Golden Hamster,Mesocricetus_auratus,3.17,0.501,Hayward 2011,108,2.033,Hayward 2011,8.79,4,3,Capellini 2015,NA,,no,Lukas 2019
343,Cetacea,Ziphiidae,Hubbs' Beaked Whale,Mesoplodon_carlhubbsi,500.0345,2.699,Dines 2015,1499685,6.176,Dines 2015,0.97,NA,NA,Capellini 2015,NA,,NA,NA
344,Cetacea,Ziphiidae,Gervais' Beaked Whale,Mesoplodon_europaeus,319.8895,2.505,Dines 2015,1199499,6.079,Dines 2015,NA,NA,48,Capellini 2015,NA,,NA,NA
345,Cetacea,Ziphiidae,Ginkgo-toothed Beaked Whale,Mesoplodon_ginkgodens,279.8981,2.447,Dines 2015,1199499,6.079,Dines 2015,NA,NA,NA,Capellini 2015,NA,,NA,NA
346,Cetacea,Ziphiidae,True's Beaked Whale,Mesoplodon_mirus,327.3407,2.515,Dines 2015,1020939,6.009,Dines 2015,0.97,NA,NA,Capellini 2015,NA,,NA,NA
347,Cetacea,Ziphiidae,Perrin's beaked whale,Mesoplodon_perrini,199.9862,2.301,Dines 2015,1199499,6.079,Dines 2015,NA,NA,NA,NA,NA,,NA,NA
348,Primates,Cebidae,Silvery Marmoset,Mico_argentatus,1.8281,0.262,Harcourt 1995,360,2.556,Harcourt 1995,1.84,2.31,16.8,Capellini 2015; Myrhvold 2015,monogamous,Lukas 2012; Lukas 2013,yes,Heldstab 2019
349,Primates,Cheirogaleidae,Gray Mouse Lemur,Microcebus_murinus,1.83,0.262,Soulsbury 2010,71.66,1.855,Soulsbury 2010,2,1,18.2,Capellini 2015,promiscuous,Soulsbury 2010,no,Heldstab 2019; Lukas 2019
350,Rodentia,Muridae,Harvest Mouse,Micromys_minutus,0.15,-0.75,Breed 2000,10,0.892,Breed 2000,4.92,2.5,5,Capellini 2015,NA,,no,Heldstab 2019
351,Rodentia,Muridae,Harvest Mouse,Micromys_minutus,0.178,-0.75,Hayward 2011; Gage 2003,7.8,0.892,Hayward 2011; Gage 2003,4.92,2.5,5,Capellini 2015,NA,,no,Heldstab 2019
352,Chiroptera,Pteropodidae,Peters's Lesser Epauletted Fruit Bat,Micropteropus_pusillus,0.1199,-0.921,Ramm 2007,32,1.511,Ramm 2007,0.99,2,4.575,Capellini 2015; Myrhvold 2015,polygynous,Hosken 2001,NA,NA
353,Rodentia,Cricetidae,Field Vole,Microtus_agrestis,0.804,-0.095,Hayward 2011; Gage 2003,46.4,1.667,Hayward 2011; Gage 2003,4.65,3.5,4.8,Capellini 2015,NA,,no,Lukas 2019
354,Rodentia,Cricetidae,Common Vole,Microtus_arvalis,0.4236,-0.373,Hayward 2011,29,1.455,Hayward 2011,4.99,6,4.8,Capellini 2015,NA,,no,Heldstab 2019; Lukas 2019
355,Rodentia,Cricetidae,California Vole,Microtus_californicus,0.2698,-0.569,Hayward 2011,66,1.818,Hayward 2011,4.41,5,2.083333333,Capellini 2015; Myrhvold 2015,polygynous,Lukas 2012; Waterman 2007; Pantheria,yes,Heldstab 2019
356,Rodentia,Cricetidae,Montane Vole,Microtus_montanus,0.3802,-0.42,Ramm 2007,43,1.633,Ramm 2007,5.54,4.76,NA,Capellini 2015,promiscuous,Lukas 2012; Waterman 2007; Pantheria,no,Heldstab 2019
357,Rodentia,Cricetidae,Prairie Vole,Microtus_ochrogaster,0.879,-0.056,Soulsbury 2010,38,1.58,Soulsbury 2010,3.87,4.07,5.3,Capellini 2015,monogamous; polygynous,Soulsbury 2010; Pantheria; Lukas 2013; Lukas 2012,yes,Heldstab 2019; Lukas 2019
358,Rodentia,Cricetidae,Root Vole,Microtus_oeconomus,0.42,-0.378,Hayward 2011; Soulsbury 2010,35,1.542,Hayward 2011; Soulsbury 2010,5.62,3.5,1.8,Capellini 2015,promiscuous,Soulsbury 2010; Waterman 2007; Sinervo 2020,NA,
359,Rodentia,Cricetidae,Meadow Vole,Microtus_pennsylvanicus,1.17,0.068,Soulsbury 2010,54.6,1.737,Soulsbury 2010,5.16,2.7,1.333333333,Capellini 2015,promiscuous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Heldstab 2019; Lukas 2019; Sinervo 2020
